-2.5	-2.5	-2.5	
-2.5	-1.5	-2.5	
-2.5	-0.5	-2.5	
-2.5	0.5	-2.5	
-2.5	1.5	-2.5	
-2.5	2.5	-2.5	
-1.5	-2.5	-2.5	
-0.75	-0.75	-2.5	
-0.75	-0.25	-2.5	
-0.75	0.25	-2.5	
-0.75	0.75	-2.5	
-1.5	2.5	-2.5	
-0.5	-2.5	-2.5	
-0.25	-0.75	-2.5	
-1.5	-1.5	-3.5	
-1.5	1.5	-3.5	
-0.25	0.75	-2.5	
-0.5	2.5	-2.5	
0.5	-2.5	-2.5	
0.25	-0.75	-2.5	
1.5	-1.5	-3.5	
1.5	1.5	-3.5	
0.25	0.75	-2.5	
0.5	2.5	-2.5	
1.5	-2.5	-2.5	
0.75	-0.75	-2.5	
0.75	-0.25	-2.5	
0.75	0.25	-2.5	
0.75	0.75	-2.5	
1.5	2.5	-2.5	
2.5	-2.5	-2.5	
2.5	-1.5	-2.5	
2.5	-0.5	-2.5	
2.5	0.5	-2.5	
2.5	1.5	-2.5	
2.5	2.5	-2.5	
-2.5	-2.5	-1.5	
-2.5	-0.75	-0.75	
-2.5	-0.25	-0.75	
-2.5	0.25	-0.75	
-2.5	0.75	-0.75	
-2.5	2.5	-1.5	
-0.75	-2.5	-0.75	
-1.5	-1.5	-1.5	
-1.5	-0.5	-1.5	
-1.5	0.5	-1.5	
-1.5	1.5	-1.5	
-0.75	2.5	-0.75	
-0.25	-2.5	-0.75	
-0.5	-1.5	-1.5	
-0.5	-0.5	-1.5	
-0.5	0.5	-1.5	
-0.5	1.5	-1.5	
-0.25	2.5	-0.75	
0.25	-2.5	-0.75	
0.5	-1.5	-1.5	
0.5	-0.5	-1.5	
0.5	0.5	-1.5	
0.5	1.5	-1.5	
0.25	2.5	-0.75	
0.75	-2.5	-0.75	
1.5	-1.5	-1.5	
1.5	-0.5	-1.5	
1.5	0.5	-1.5	
1.5	1.5	-1.5	
0.75	2.5	-0.75	
2.5	-2.5	-1.5	
2.5	-0.75	-0.75	
2.5	-0.25	-0.75	
2.5	0.25	-0.75	
2.5	0.75	-0.75	
2.5	2.5	-1.5	
-2.5	-2.5	-0.5	
-2.5	-0.75	-0.25	
-1.5	-1.5	-1.5	
-1.5	1.5	-1.5	
-2.5	0.75	-0.25	
-2.5	2.5	-0.5	
-0.75	-2.5	-0.25	
-1.5	-1.5	-0.5	
-1.5	-0.5	-0.5	
-1.5	0.5	-0.5	
-1.5	1.5	-0.5	
-0.75	2.5	-0.25	
-1.5	-3.5	-1.5	
-0.5	-1.5	-0.5	
-0.5	-0.5	-0.5	
-0.5	0.5	-0.5	
-0.5	1.5	-0.5	
-1.5	3.5	-1.5	
1.5	-3.5	-1.5	
0.5	-1.5	-0.5	
0.5	-0.5	-0.5	
0.5	0.5	-0.5	
0.5	1.5	-0.5	
1.5	3.5	-1.5	
0.75	-2.5	-0.25	
1.5	-1.5	-0.5	
1.5	-0.5	-0.5	
1.5	0.5	-0.5	
1.5	1.5	-0.5	
0.75	2.5	-0.25	
2.5	-2.5	-0.5	
2.5	-0.75	-0.25	
1.5	-1.5	-1.5	
1.5	1.5	-1.5	
2.5	0.75	-0.25	
2.5	2.5	-0.5	
-2.5	-2.5	0.5	
-2.5	-0.75	0.25	
-1.5	-1.5	1.5	
-1.5	1.5	1.5	
-2.5	0.75	0.25	
-2.5	2.5	0.5	
-0.75	-2.5	0.25	
-1.5	-1.5	0.5	
-1.5	-0.5	0.5	
-1.5	0.5	0.5	
-1.5	1.5	0.5	
-0.75	2.5	0.25	
-1.5	-3.5	1.5	
-0.5	-1.5	0.5	
-0.5	-0.5	0.5	
-0.5	0.5	0.5	
-0.5	1.5	0.5	
-1.5	3.5	1.5	
1.5	-3.5	1.5	
0.5	-1.5	0.5	
0.5	-0.5	0.5	
0.5	0.5	0.5	
0.5	1.5	0.5	
1.5	3.5	1.5	
0.75	-2.5	0.25	
1.5	-1.5	0.5	
1.5	-0.5	0.5	
1.5	0.5	0.5	
1.5	1.5	0.5	
0.75	2.5	0.25	
2.5	-2.5	0.5	
2.5	-0.75	0.25	
1.5	-1.5	1.5	
1.5	1.5	1.5	
2.5	0.75	0.25	
2.5	2.5	0.5	
-2.5	-2.5	1.5	
-2.5	-0.75	0.75	
-2.5	-0.25	0.75	
-2.5	0.25	0.75	
-2.5	0.75	0.75	
-2.5	2.5	1.5	
-0.75	-2.5	0.75	
-1.5	-1.5	1.5	
-1.5	-0.5	1.5	
-1.5	0.5	1.5	
-1.5	1.5	1.5	
-0.75	2.5	0.75	
-0.25	-2.5	0.75	
-0.5	-1.5	1.5	
-0.5	-0.5	1.5	
-0.5	0.5	1.5	
-0.5	1.5	1.5	
-0.25	2.5	0.75	
0.25	-2.5	0.75	
0.5	-1.5	1.5	
0.5	-0.5	1.5	
0.5	0.5	1.5	
0.5	1.5	1.5	
0.25	2.5	0.75	
0.75	-2.5	0.75	
1.5	-1.5	1.5	
1.5	-0.5	1.5	
1.5	0.5	1.5	
1.5	1.5	1.5	
0.75	2.5	0.75	
2.5	-2.5	1.5	
2.5	-0.75	0.75	
2.5	-0.25	0.75	
2.5	0.25	0.75	
2.5	0.75	0.75	
2.5	2.5	1.5	
-2.5	-2.5	2.5	
-2.5	-1.5	2.5	
-2.5	-0.5	2.5	
-2.5	0.5	2.5	
-2.5	1.5	2.5	
-2.5	2.5	2.5	
-1.5	-2.5	2.5	
-0.75	-0.75	2.5	
-0.75	-0.25	2.5	
-0.75	0.25	2.5	
-0.75	0.75	2.5	
-1.5	2.5	2.5	
-0.5	-2.5	2.5	
-0.25	-0.75	2.5	
-1.5	-1.5	3.5	
-1.5	1.5	3.5	
-0.25	0.75	2.5	
-0.5	2.5	2.5	
0.5	-2.5	2.5	
0.25	-0.75	2.5	
1.5	-1.5	3.5	
1.5	1.5	3.5	
0.25	0.75	2.5	
0.5	2.5	2.5	
1.5	-2.5	2.5	
0.75	-0.75	2.5	
0.75	-0.25	2.5	
0.75	0.25	2.5	
0.75	0.75	2.5	
1.5	2.5	2.5	
2.5	-2.5	2.5	
2.5	-1.5	2.5	
2.5	-0.5	2.5	
2.5	0.5	2.5	
2.5	1.5	2.5	
2.5	2.5	2.5	
