-0.35421,0.64579
-0.43589,0.73483
-0.50003,0.91161
-0.50003,1.0884
-0.43589,1.2652
-0.35421,1.3542
-0.26517,0.56411
-0.31417,0.68583
-0.35266,0.89528
-0.35266,1.1047
-0.31417,1.3142
-0.26517,1.4359
-0.088388,0.49997
-0.10472,0.64734
-0.11755,0.88245
-0.11755,1.1176
-0.10472,1.3527
-0.088388,1.5
0.088388,0.49997
0.10472,0.64734
0.11755,0.88245
0.11755,1.1176
0.10472,1.3527
0.088388,1.5
0.26517,0.56411
0.31417,0.68583
0.35266,0.89528
0.35266,1.1047
0.31417,1.3142
0.26517,1.4359
0.35421,0.64579
0.43589,0.73483
0.50003,0.91161
0.50003,1.0884
0.43589,1.2652
0.35421,1.3542
